doi	solvent	PhNH2	BnOH	alc2aniline_ratio	base	base_amount	catalyst	metal	ligand	atmosphere	cat_load	temp	time	yield	TON	comment	success	atm_type	year	base_amine_ratio	base_alcohol_ratio
10.1002/chem.201201845	PhMe	1.0	1.0	1.0	no base	0.0	IrNHC	Ir	no	Ar	1.0	80.0	36.0	92.0	92.0	0	True	inert	2012	0.0	0.0
10.1021/acs.inorgchem.9b03049	neat	1.0	1.2	1.2	tBuOK	0.2	Ru-NHC	Ru	no	Ar	0.5	120.0	4.0	75.84	151.68	0	True	inert	2020	0.2	0.1666666666666666
10.3184/174751917x14931195075562	MeCN	0.5	0.6	1.2	Cs2CO3	0.6	(C6H5benzothiazole)2Ir+P(nBu)3(OTf)-	Ir	no	Ar	1.0	81.6	18.0	44.0	44.0	0	False	inert	2017	1.2	1.0
10.1016/j.ica.2015.01.002	PhMe	2.0	2.0	1.0	KOH	4.0	Ru-hydrazon (PPh3)2COH	Ru	no	no data	0.6	120.0	14.0	91.0	151.66666666666669	0	True	no_data	2015	2.0	2.0
10.1021/acs.inorgchem.9b03049	neat	1.0	1.2	1.2	tBuOK	0.2	Ru-NHC	Ru	no	Ar	0.5	120.0	4.0	75.65	151.3	0	True	inert	2020	0.2	0.1666666666666666
10.1002/aoc.5970	PhMe	0.5	0.5	1.0	tBuOK	0.5	Cp*IrCNCl	Ir	no	Ar	1.0	90.0	16.0	91.2	91.2	0	True	inert	2020	1.0	1.0
10.1055/s-2005-862381	PhMe	1.0	1.0	1.0	K2CO3	0.05	Cp*IrCl2	Ir	no	Ar	5.0	90.0	40.0	81.0	16.2	0	True	inert	2005	0.05	0.05
10.1002/cctc.201501346	PhMe	0.55	0.5	0.9090909090909092	K3PO4	1.5	Pd/C	Pd	no	N2	5.0	110.0	24.0	54.0	10.8	0	False	inert	2016	2.727272727272727	3.0
10.1021/cs400799n	neat	2.0	6.0	3.0	Et3N	0.4	PdCl2	Pd	dppf(tBu)(1 mol%)	Ar	1.0	110.0	24.0	9.0	9.0	0	False	inert	2013	0.2	0.0666666666666666
10.1021/om300692a	PhMe	2.0	2.0	1.0	KOH	1.0	RuNHC	Ru	no	Ar	0.5	100.0	15.0	75.0	150.0	0	True	inert	2012	0.5	0.5
10.1016/s0040-4039(03)00371-x	PhMe	1.0	1.0	1.0	K2CO3	0.05	Cp*IrCl2	Ir	no	Ar	5.0	90.0	17.0	52.0	10.4	0	False	inert	2003	0.05	0.05
10.1002/chem.201201845	PhMe	1.0	1.0	1.0	no base	0.0	IrNHC	Ir	no	Ar	1.0	90.0	6.0	93.0	93.0	0	True	inert	2012	0.0	0.0
10.1021/cs300756f	neat	0.05	49.7	994.0	no base	0.0	Ag0,3/TiO2	Ag	hv (lambda>300 nm)	N2	5.5	25.0	6.0	2.0	0.3636363636363636	irradiation	False	inert	2013	0.0	0.0
10.1021/ol303075h	PhMe	1.0	1.0	1.0	no base	0.0	Cp*Ir(pro)Cl	Ir	no	Ar	2.0	95.0	24.0	96.0	48.0	0	True	inert	2013	0.0	0.0
10.1021/ol303075h	H2O	1.0	1.0	1.0	no base	0.0	Cp*Ir(pro)Cl	Ir	no	Ar	2.0	95.0	24.0	95.0	47.5	0	True	inert	2013	0.0	0.0
10.1002/ejic.202000971	PhMe	2.0	1.0	0.5	tBuOK	2.0	Ir-ppy	Ir	no	N2	0.23	100.0	24.0	99.0	430.4347826086956	0	True	inert	2021	1.0	2.0
10.1002/cctc.201501346	PhMe	0.55	0.5	0.9090909090909092	NaHCO3	1.5	Pd/C	Pd	no	N2	5.0	110.0	24.0	43.0	8.6	0	False	inert	2016	2.727272727272727	3.0
10.1039/c8gc00557e	neat	2.0	4.0	2.0	KOH	1.0	[Cu(binap)I]2@HT	Cu	0	no data	20.0	80.0	12.0	81.0	4.05	0	True	no_data	2018	0.5	0.25
10.1016/j.apcata.2020.117519	p-xylene	1.1	1.1	1.0	no base	0.0	Cu-Ce(3)HT-300	Cu	0	N2		154.0	24.0	72.27		0	True	inert	2020	0.0	0.0
10.1021/acs.orglett.5b03461	PhMe	0.6	0.5	0.8333333333333334	no base	0.0	Co-PNP-pincer	Co	4A MS	Ar	1.0	110.0	48.0	78.0	78.0	0	True	inert	2015	0.0	0.0
10.1016/j.apcata.2020.117519	p-xylene	1.1	1.1	1.0	no base	0.0	Cu-Y(3)HT-300	Cu	0	N2		154.0	24.0	45.0		0	False	inert	2020	0.0	0.0
10.1021/acs.inorgchem.9b03049	neat	1.0	1.2	1.2	tBuOK	0.2	Ru-NHC	Ru	no	Ar	0.5	120.0	4.0	74.1	148.2	0	True	inert	2020	0.2	0.1666666666666666
10.1021/acscatal.6b01677	p-xylene	1.0	1.0	1.0	no base	0.0	Pd/Al2O3 (2,8 mol% Pd)	Pd	no	Ar	2.8	110.0	0.5	22.0	7.857142857142858	0	False	inert	2016	0.0	0.0
10.1002/cctc.201501346	PhMe	0.55	0.5	0.9090909090909092	HCOONa	0.5	Pd/C	Pd	no	N2	5.0	110.0	24.0	34.0	6.8	0	False	inert	2016	0.9090909090909092	1.0
10.1002/ejic.202000971	PhMe	2.0	1.0	0.5	KOH	2.0	Ir-ppy	Ir	no	N2	0.23	100.0	24.0	68.0	295.65217391304344	0	True	inert	2021	1.0	2.0
10.1039/c7gc01007a	PhMe	0.49	0.54	1.1020408163265307	tBuOK	0.543	Cp*IrNHC(triazole)CF3	Ir	no	Ar	0.5	100.0	6.0	80.0	160.0	0	True	inert	2017	1.1081632653061226	1.0055555555555555
10.1002/cctc.201501346	PhMe	0.55	0.5	0.9090909090909092	HCOONa	1.5	Pd/C	Pd	no	N2	10.0	110.0	24.0	64.0	6.4	0	False	inert	2016	2.727272727272727	3.0
10.1002/ejic.202000971	PhMe	2.0	1.0	0.5	NaOH	2.0	Ir-ppy	Ir	no	N2	0.23	100.0	24.0	24.0	104.34782608695652	0	False	inert	2021	1.0	2.0
10.1002/chem.201501109	trifluoroethanol	0.6	0.5	0.8333333333333334	K2CO3	0.025	Cp*[Ir]NAr ligand	Ir	no	Ar	1.0	100.0	12.0	99.0	99.0	0	True	inert	2015	0.0416666666666666	0.05
10.1021/acs.inorgchem.9b03049	neat	1.0	1.2	1.2	tBuOK	0.2	Ru-NHC	Ru	no	Ar	0.5	120.0	2.0	74.1	148.2	0	True	inert	2020	0.2	0.1666666666666666
10.1002/ejoc.201700486	dioxane	0.1	0.11	1.1	KOH	0.02	[RuPy(benzimidazole)2(PPh3)2Cl]+Cl-	Ru	no	no data	0.3	140.0	12.0	44.0	146.66666666666669	0	False	no_data	2017	0.1999999999999999	0.1818181818181818
10.1039/c7dt04326k	PhMe	1.0	1.0	1.0	no base	0.0	Cp*IrN=CH(anthracene)Cl	Ir	no	N2	0.3	100.0	4.0	99.0	330.0	0	True	inert	2018	0.0	0.0
10.1039/c7dt04326k	PhMe	1.0	1.0	1.0	no base	0.0	Cp*IrN=CH(anthracene)Cl	Ir	no	N2	0.15	100.0	4.0	30.0	200.0	0	False	inert	2018	0.0	0.0
10.1177/1747519821989963	EtOAc	0.75	0.5	0.6666666666666666	Na2CO3	1.0	Ag@MnO2	Ag	0	Air	0.9	25.0	12.0	0.0	0.0	0	False	oxygen	2021	1.3333333333333333	2.0
10.1002/ejoc.201700486	PhMe	0.1	0.11	1.1	tBuOK	0.02	[RuPy(benzimidazole)2(PPh3)2Cl]+Cl-	Ru	no	no data	0.3	140.0	12.0	44.0	146.66666666666669	0	False	no_data	2017	0.1999999999999999	0.1818181818181818
10.1039/b814234c	neat	1.0	3.0	3.0	CsOH	0.5	[(sat-NHC-Bn)Ir(CO)(PPh3)Cl]	Ir	no	N2	1.0	100.0	24.0	96.0	96.0	0	True	inert	2008	0.5	0.1666666666666666
10.1016/j.ica.2015.01.002	PhMe	2.0	2.0	1.0	NaOH	4.0	Ru-hydrazon (PPh3)2COH	Ru	no	no data	0.5	120.0	16.0	73.0	146.0	0	True	no_data	2015	2.0	2.0
10.1039/c6cy00597g	PhMe	0.1	0.21	2.1	KOH	0.1	PAFspf-IMesRu	Ru	no	N2	0.5	130.0	24.0	72.2	144.4	0	True	inert	2016	1.0	0.4761904761904762
10.1002/adsc.201000962	H2O	2.0	2.0	1.0	no base	0.0	Cp*Ir(NH3)3I	Ir	no	Air	0.5	100.0	24.0	86.0	172.0	0	True	oxygen	2011	0.0	0.0
10.1039/c7dt04326k	dichlorobenzene	1.0	1.0	1.0	no base	0.0	Cp*IrN=CH(anthracene)Cl	Ir	no	N2	0.3	100.0	4.0	45.0	150.0	0	False	inert	2018	0.0	0.0
10.1021/om300692a	PhMe	2.0	2.0	1.0	tBuOK	0.3	RuNHC	Ru	no	Ar	0.5	100.0	24.0	72.0	144.0	0	True	inert	2012	0.15	0.15
10.1021/acscatal.6b01677	p-xylene	1.0	1.0	1.0	no base	0.0	Pd/Al2O3 (2,8 mol% Pd)	Pd	no	Ar	2.8	110.0	5.0	7.0	2.5	0	False	inert	2016	0.0	0.0
10.1021/cs400799n	neat	2.0	6.0	3.0	NaHCO3	0.4	PdCl2	Pd	dppf(1mol%)	Ar	1.0	110.0	24.0	0.0	0.0	0	False	inert	2013	0.2	0.0666666666666666
10.1021/om300692a	PhMe	2.0	2.0	1.0	KOH	1.0	RuNHC	Ru	no	Ar	0.5	100.0	15.0	72.0	144.0	0	True	inert	2012	0.5	0.5
10.1016/j.ica.2015.01.002	PhMe	2.0	2.0	1.0	KOH	4.0	Ru-hydrazon (PPh3)2COH	Ru	no	no data	0.5	120.0	12.0	72.0	144.0	0	True	no_data	2015	2.0	2.0
10.1021/om4000743	PhMe	1.0	1.0	1.0	CsOH	0.1	Ir-Py(CH=P-Mes)2 - pincer	Ir	no	N2	1.0	100.0	24.0	94.0	94.0	0	True	inert	2013	0.1	0.1
10.1002/aoc.5970	PhMe	0.5	0.5	1.0	tBuOK	0.5	Cp*IrCNCl	Ir	no	Ar	1.0	100.0	16.0	90.25	90.25	0	True	inert	2020	1.0	1.0
10.1055/s-0033-1338797	H2O	0.5	0.5	1.0	NaHCO3	0.005	[Cp*Ir(k2-CO3)(IPr)	Ir	PB-Cp*Ir(IPr) (3)	Air	1.0	100.0	24.0	85.0	85.0	0	True	oxygen	2013	0.01	0.01
10.1021/acscatal.8b02530	THF	1.0	1.4	1.4	tBuOK	1.0	Mn-PNP-pincer	Mn	no	Ar	0.0	80.0	18.0	0.0		0	False	inert	2018	1.0	0.7142857142857143
10.1002/ejoc.201700486	PhMe	0.1	0.11	1.1	NaOH	0.02	[RuPy(benzimidazole)2(PPh3)2Cl]+Cl-	Ru	no	no data	0.3	140.0	12.0	43.0	143.33333333333334	0	False	no_data	2017	0.1999999999999999	0.1818181818181818
10.1002/adsc.201600689	PhMe	1.2	1.0	0.8333333333333334	tBuOK	1.3	Fe-PNP-pincer	Fe	no	Ar	2.0	80.0	16.0	91.0	45.5	0	True	inert	2016	1.0833333333333337	1.3
10.1021/jo00192a021	neat	40.0	193.0	4.825	no base	0.0	RuCl2(PPh3)2	Ru	no	Ar	1.0	180.0	5.0	142.0	142.0	Tribenzylamine formed	True	inert	2005	0.0	0.0
10.1021/acs.inorgchem.9b03049	neat	1.0	1.2	1.2	KOH	0.2	Ru-NHC	Ru	no	Ar	0.5	120.0	2.0	70.2	140.4	0	True	inert	2020	0.2	0.1666666666666666
10.1039/b814234c	neat	1.0	3.0	3.0	KOH	0.5	[(sat-NHC-Bn)Ir(CO)(PPh3)Cl]	Ir	no	N2	1.0	100.0	24.0	85.0	85.0	0	True	inert	2008	0.5	0.1666666666666666
10.1039/c7dt04326k	PhMe	1.0	1.0	1.0	no base	0.0	Cp*IrN=CH(anthracene)Cl	Ir	no	N2	1.0	100.0	4.0	99.0	99.0	0	True	inert	2018	0.0	0.0
10.1021/acscatal.8b02530	THF	1.0	1.4	1.4	tBuOK	1.0	Mn-PNP-pincer	Mn	no	Ar	0.1	80.0	18.0	6.0	60.0	0	False	inert	2018	1.0	0.7142857142857143
10.1002/cctc.201501346	PhMe	0.55	0.5	0.9090909090909092	no base	0.0	Pd/C	Pd	no	N2	5.0	110.0	24.0	0.0	0.0	0	False	inert	2016	0.0	0.0
10.1002/adsc.201000962	H2O	2.0	2.0	1.0	no base	0.0	Cp*Ir(NH3)3I	Ir	no	Air	1.0	100.0	6.0	95.0	95.0	0	True	oxygen	2011	0.0	0.0
10.1016/j.tet.2017.03.001	neat	10.7	12.8	1.1962616822429908	LiOH	5.3	Pd2((AcO)pirazoleAr3)2	Pd	P(2-Fu)3 (0,4 mol%), 4A MS	Ar	0.002	120.0	24.0	61.0	30500.0	0	False	inert	2017	0.4953271028037383	0.4140624999999999
10.1002/anie.201507955	PhMe	1.4	1.1	0.7857142857142858	tBuOK	1.0	Co-PNP-pincer	Co	no	Ar	0.5	80.0	24.0	53.0	106.0	0	False	inert	2015	0.7142857142857143	0.9090909090909092
10.1021/om4000743	PhMe	1.0	1.0	1.0	KOH	0.3	Ir-Py(CH=P-Mes)2 - pincer	Ir	no	N2	1.0	100.0	24.0	80.0	80.0	0	True	inert	2013	0.3	0.3
10.1002/chem.201101725	p-xylene	1.0	1.0	1.0	no base	0.0	PtSn/Al2O3 1:3	Pt	no	N2	0.5	145.0	8.0	97.0	194.0	0	True	inert	2011	0.0	0.0
10.1021/acscatal.8b02530	THF	1.0	1.4	1.4	tBuOK	1.0	Mn-PNP-pincer	Mn	no	Ar	1.0	80.0	18.0	56.0	56.0	0	False	inert	2018	1.0	0.7142857142857143
10.1016/j.catcom.2015.10.028	neat	1.0	1.6	1.6	tBuOK	0.15	CymeneRuCl2	Ru	NHC ligand (1 mol%)	no data	0.5	120.0	15.0	70.0	140.0	0	True	no_data	2015	0.15	0.0937499999999999
10.1021/acs.inorgchem.9b03049	neat	1.0	1.2	1.2	tBuOK	0.2	Ru-NHC	Ru	no	Ar	0.5	120.0	4.0	69.84	139.68	0	True	inert	2020	0.2	0.1666666666666666
10.1021/ol201422s	H2O	0.5	0.6	1.2	no base	0.0	Cp*Ir+on ionic polymer	Ir	no	Air	1.0	100.0	24.0	85.0	85.0	0	True	oxygen	2011	0.0	0.0
10.1039/c7dt04326k	dioxane	1.0	1.0	1.0	no base	0.0	Cp*IrN=CH(anthracene)Cl	Ir	no	N2	0.3	100.0	4.0	25.0	83.33333333333334	0	False	inert	2018	0.0	0.0
10.1002/ejoc.201700486	PhMe	0.1	0.11	1.1	tBuONa	0.02	[RuPy(benzimidazole)2(PPh3)2Cl]+Cl-	Ru	no	no data	0.3	140.0	12.0	41.0	136.66666666666669	0	False	no_data	2017	0.1999999999999999	0.1818181818181818
10.1021/acs.inorgchem.9b03049	neat	1.0	1.2	1.2	tBuOK	0.2	Ru-NHC	Ru	no	Ar	0.5	120.0	4.0	67.76	135.52	0	True	inert	2020	0.2	0.1666666666666666
10.1021/jo200559h	PhMe	1.0	2.0	2.0	KOH	1.3	Ru(OH)3-Fe3O4	Ru	no	Ar	0.26	130.0	48.0	35.0	134.6153846153846	0	False	inert	2011	1.3	0.65
10.1002/adsc.201000962	H2O	2.0	2.0	1.0	no base	0.0	Cp*Ir(NH3)3I	Ir	no	Air	1.0	100.0	4.0	80.0	80.0	0	True	oxygen	2011	0.0	0.0
10.1002/adsc.201000962	H2O	2.0	2.0	1.0	no base	0.0	Cp*Ir(NH3)3I	Ir	no	Ar	1.0	100.0	4.0	79.0	79.0	0	True	inert	2011	0.0	0.0
10.1039/c7dt04326k	PhF	1.0	1.0	1.0	no base	0.0	Cp*IrN=CH(anthracene)Cl	Ir	no	N2	0.3	100.0	4.0	18.0	60.0	0	False	inert	2018	0.0	0.0
10.1039/b814234c	neat	1.0	3.0	3.0	CsOH	0.15	[(sat-NHC-Bn)Ir(CO)(PPh3)Cl]	Ir	no	N2	1.0	100.0	24.0	73.0	73.0	0	True	inert	2008	0.15	0.0499999999999999
10.1016/j.ica.2015.01.002	PhMe	2.0	2.0	1.0	KOH	4.0	Ru-hydrazon (PPh3)2COH	Ru	no	no data	0.5	120.0	10.0	63.0	126.0	0	False	no_data	2015	2.0	2.0
10.1039/d1ob00362c	PhMe	1.0	1.0	1.0	tBuOK	0.75	RuPNHC	Ru	no	Ar	0.5	30.0	24.0	61.0	122.0	0	False	inert	2021	0.75	0.75
10.1039/c5ra07225e	neat	2.0	6.0	3.0	LiOH	0.4	Pd-SiO2XantPhosOAc	Pd	no	Ar	0.0105	120.0	24.0	78.0	7428.571428571428	0	True	inert	2015	0.2	0.0666666666666666
10.1016/j.tet.2014.10.007	DCE	1.0	1.2	1.2	tBuOK	1.0	Ph3PAuCl	Au	AgOTf (10 mol%)	Ar	10.0	83.0	48.0	5.0	0.5	0	False	inert	2014	1.0	0.8333333333333334
10.1177/1747519821989963	DCM	0.75	0.5	0.6666666666666666	Na2CO3	1.0	Ag@MnO2	Ag	0	Air	0.9	25.0	12.0	0.0	0.0	0	False	oxygen	2021	1.3333333333333333	2.0
10.1055/s-0033-1338797	H2O	0.5	0.5	1.0	NaHCO3	0.005	[Cp*Ir(k2-CO3)(IPr)	Ir	PB-Cp*Ir(IPr) (3)	Air	1.0	100.0	24.0	72.0	72.0	0	True	oxygen	2013	0.01	0.01
10.1039/b814234c	neat	1.0	3.0	3.0	KOH	0.75	[(sat-NHC-Bn)Ir(CO)(PPh3)Cl]	Ir	no	N2	1.0	100.0	24.0	68.0	68.0	0	True	inert	2008	0.75	0.25
10.1021/acs.inorgchem.9b03049	neat	1.0	1.2	1.2	tBuONa	0.2	Ru-NHC	Ru	no	Ar	0.5	120.0	2.0	59.84	119.68	0	False	inert	2020	0.2	0.1666666666666666
10.1002/aoc.6003	trifluoroethanol	0.6	0.5	0.8333333333333334	K2CO3	1.0	IrNN	Ir	no	N2	1.0	100.0	7.0	65.0	65.0	0	False	inert	2020	1.6666666666666667	2.0
10.1016/j.tet.2014.10.007	dioxane	1.0	1.2	1.2	tBuOK	1.0	Ph3PAuCl	Au	AgOTf (3 mol%)	Ar	3.0	100.0	48.0	37.0	12.333333333333334	0	False	inert	2014	1.0	0.8333333333333334
10.1039/c7dt04326k	THF	1.0	1.0	1.0	no base	0.0	Cp*IrN=CH(anthracene)Cl	Ir	no	N2	0.3	100.0	4.0	13.0	43.333333333333336	0	False	inert	2018	0.0	0.0
10.1021/om4000743	PhMe	1.0	1.0	1.0	tBuOK	0.3	Ir-Py(CH=P-Mes)2 - pincer	Ir	no	N2	1.0	100.0	24.0	63.0	63.0	0	False	inert	2013	0.3	0.3
10.1039/c5ra07225e	neat	2.0	6.0	3.0	LiOH	0.4	Pd-SiO2XantPhosOAc	Pd	no	Ar	0.021	120.0	24.0	98.0	4666.666666666666	0	True	inert	2015	0.2	0.0666666666666666
10.1021/acs.inorgchem.9b03049	neat	1.0	1.2	1.2	tBuOK	0.2	Ru-NHC	Ru	no	Ar	0.5	120.0	4.0	59.64	119.28	0	False	inert	2020	0.2	0.1666666666666666
10.1021/ol3001969	PhMe/THF-1:2	0.35	0.35	1.0	tBuOK	0.35	RuPNP complex	Ru	MS 4A	N2	0.5	110.0	24.0	56.0	112.0	0	False	inert	2012	1.0	1.0
10.1039/d1ob00362c	PhMe	1.0	1.0	1.0	tBuOK	0.5	RuPNHC	Ru	no	Ar	0.5	110.0	2.0	54.0	108.0	0	False	inert	2021	0.5	0.5
10.1055/s-0033-1338797	H2O	0.5	0.5	1.0	NaHCO3	0.005	[Cp*Ir(k2-CO3)(IMes)	Ir	PB-Cp*Ir(IMes) (3′)	Air	1.0	100.0	24.0	63.0	63.0	0	False	oxygen	2013	0.01	0.01
10.1016/j.catcom.2015.10.028	neat	1.0	1.6	1.6	tBuOK	1.0	CymeneRuCl2	Ru	NHC ligand (1 mol%)	no data	1.0	120.0	15.0	100.0	100.0	0	True	no_data	2015	1.0	0.625
10.1002/aoc.6003	trifluoroethanol	0.6	0.5	0.8333333333333334	Cs2CO3	1.0	IrNN	Ir	no	N2	1.0	100.0	7.0	62.0	62.0	0	False	inert	2020	1.6666666666666667	2.0
10.1016/j.catcom.2017.03.007	PhMe	1.0	2.0	2.0	tBuOK	1.0	[Ru(COD)Cl2]n	Ru	imidazole(CH2)2N(CH2PPh2)2	N2	1.0	80.0	24.0	99.0	99.0	0	True	inert	2017	1.0	0.5
10.1002/aoc.4277	PhMe	1.0	2.0	2.0	tBuOK	1.0	[Ru(COD)Cl2]n	Ru	(Me)imidazole(CH2)4Cl (1 mol%)	Ar	1.0	100.0	24.0	99.0	99.0	0	True	inert	2018	1.0	0.5
10.1021/acs.orglett.6b01647	PhMe	1.4	1.0	0.7142857142857143	tBuOK	1.3	Co-PNP-pincer	Co	no	Ar	1.0	80.0	16.0	84.0	84.0	0	True	inert	2016	0.9285714285714288	1.3
10.1002/aoc.4277	PhMe	1.0	2.0	2.0	tBuOK	1.0	[Ru(COD)Cl2]n	Ru	(Me)imidazole(CH2)4PPh2 (1 mol%)	Ar	1.0	100.0	24.0	99.0	99.0	0	True	inert	2018	1.0	0.5
10.1039/c8gc02298d	H2O	0.5	0.5	1.0	no base	0.0	Cp*Ir(imidazole)(pyridineOH)Cl 8а	Ir	no	N2	2.0	100.0	24.0	60.83	30.415	0	False	inert	2018	0.0	0.0
10.1039/c5ra07225e	neat	2.0	6.0	3.0	LiOH	0.4	Pd-SiO2XantPhosOAc	Pd	no	Ar	0.021	120.0	24.0	94.0	4476.190476190476	0	True	inert	2015	0.2	0.0666666666666666
